title,excerpt,content,collection,subcollection,folder,name,image_path
DIE SEELE DER JAPANISCHEN YAKUZA,"100 x 100cm, Stempeldruck, Acryl und Lack auf Leinwand, Fr. 1850.-","Die Yakuza ist eine kriminelle Organisation und als Japanische Mafia bekannt. 
 
Yakuza-Mitglieder sind oft an ihren auffälligen Tätowierungen und abgeschnittenen Finger- gliedern als Zeichen der Bestrafung zu erkennen. 
Heute tragen die meisten jedoch Fingerkuppen-Attrappen.
 
In den letzten Jahren hat die japanische Regierung die Yakuza stärker bekämpft, wodurch ihre Mitgliederzahl deutlich gesunken ist. Man schätzt, dass es die Yakuza in einigen Jahren nicht mehr geben wird. 
 
Jedoch haben sich bereits neue Gruppierungen zusammengetan. Z.B. die Tokuryu, welche mit jungen, unabhängigen Halbgängstern bestehen. 
Die Tokuryu überfallen am hellichten Tag Geschäfte oder Menschen auf der Strasse und sorgen so für mehr Unsicherheit und Angst in der Bevölkerung als die Yakuza.",Stempeldruck,,,IMG_7543.PNG,
,,,,,,,
,,,,,,,
PIED DE COQUE,"100 x 100cm, 2017, Stempeldruck, Acryl auf Leinwand, Fr. 1550.-","Das Muster, auch Hahnentritt genannt; entstand im 19. Jahrhundert in Schottland, wo es ursprünglich für robuste Hirtenkleidung genutzt wurde. Im 20 Jahrhundert entdeckte die Haute Couture, insbesondere Christian Dior, das markante Webmuster für elegante Kleidung.",Stempeldruck,,,IMG_0233.JPG,
FREUNDESKREIS,"60 x 60cm, 2018, Stempeldruck, Schablonen-Technik, Acryl, Lack und 24 Karat Blattgold auf Leinwand, Fr. 950.-","Authentizität statt Inszenierung. Ein Blick auf soziale Medien Wahre Freundschaften brauchen keinen Filter. Kein makelloses Bild, keine perfekte Inszenierung. Du darfst du selbst sein. Ungeschminkt, laut oder leise, fröhlich oder verletzlich. Echte Freunde bewerten dich nicht.  Vergiss nie, wer bleibt, wenn dir nichts mehr bleibt.",Stempeldruck,,,IMG_8010.HEIC,
FREUNDSCHAFT,"60 x 60cm, 2018, Stempeldruck, Schablonen-Technik, Acryl, Lack und 24 Karat Blattgold auf Leinwand, Fr. 950.-","Authentizität statt Inszenierung. Ein Blick auf soziale Medien Wahre Freundschaften brauchen keinen Filter. Kein makelloses Bild, keine perfekte Inszenierung. Du darfst du selbst sein. Ungeschminkt, laut oder leise, fröhlich oder verletzlich. Echte Freunde bewerten dich nicht.  Vergiss nie, wer bleibt, wenn dir nichts mehr bleibt.",Stempeldruck,,,IMG_8011.HEIC,
FREUNDE,"40 x 40cm, 2018, Stempeldruck, Schablonen-Technik, Acryl, Lack und 24 Karat Blattgold auf Leinwand, Fr. 650.-","Authentizität statt Inszenierung. Ein Blick auf soziale Medien Wahre Freundschaften brauchen keinen Filter. Kein makelloses Bild, keine perfekte Inszenierung. Du darfst du selbst sein. Ungeschminkt, laut oder leise, fröhlich oder verletzlich. Echte Freunde bewerten dich nicht.  Vergiss nie, wer bleibt, wenn dir nichts mehr bleibt.",Stempeldruck,,,IMG_8012.HEIC,
,,,,,,,
,,,,,,,
SHOWERING MAN,"51 x 71cm inkl. Rahmen, 2000, Fr. 2800.-","DIE KRATZTECHNIK
Mit höchster Sorgfalt wird die schwarze Beschichtung sorgfältig von der Folie abgekratzt. Sei es mit Skalpell, Glasscherben, Teppichmesser oder einem anderen präzisen Gegenstand.
Diese Technik erfordert vollste Konzentration. Ein einziger Fehlgriff kann das gesamte Werk zerschneiden und zunichte machen.",Kratztechnik,,,IMG_5469.JPG,
ROAD BIKERS,"22 x 31cm inkl. Rahmen, 2000, Kratztechnik, Fr. 900.-",,Kratztechnik,,,IMG_5466.JPG,
THOUGHTFUL BLACK BOY,"22 x 31cm inkl. Rahmen, 1999, Kratztechnik, Fr. 900.-",,Kratztechnik,,,IMG_2466.HEIC,
THOUGHTFUL BLACK BOY,"32 x 42cm inkl. Rahmen, 1999, Kratztechnik, Fr. 1500.-",,Kratztechnik,,,IMG_7834.HEIC,
TIGER,"41 x 51cm inkl. Rahmen, 2000, Kratztechnik, Fr. 2400.-",,Kratztechnik,,,IMG_7836.HEIC,
LION,"25 x 25cm inkl. Rahmen, 2000, Kratztechnik, Fr. 690.-",,Kratztechnik,,,IMG_7837.HEIC,
BLACK PANTHER,"30 x 40cm inkl. Rahmen, 2003, Kratztechnik, Fr. 1400.-",,Kratztechnik,,,IMG_7844.HEIC,
SELBSTPORTRAIT,"13 x 18cm inkl. Rahmen, 1999, Kratztechnik, Fr. 490.-",,Kratztechnik,,,IMG_2464.HEIC,
,,,,,,,
,,,,,,,
VERGANGENHEIT,"63 x 93cm inkl. Rahmen, 2025, Gouache und Softpastell auf Papier, Fr. 780.-","Wenn du zurückblickst, wirken manche alten Sorgen fast wie Statisten in einer Komödie. Und doch haben gerade sie dich leise dorthin gebracht, wo dein Lächeln heute wohnt.",Fussmalerei,,,IMG_3995.jpg,
VERGANGENHEIT&ZUKUNFT,,,,,,IMG_3819.HEIC,
ZUKUNFT,"63 x 93cm inkl. Rahmen, 2025, Gouache und Softpastell auf Papier, Fr. 780.-","Blicke stolz nach vorn, als hätte die Zukunft schon einen Platz für dich reserviert. Und falls sie noch nicht ganz fertig ist, bringe einfach deinen Humor mit und hilf beim Einrichten.",Fussmalerei,,,IMG_3989.jpg,
VERGANGENHEIT&ZUKUNFT,,,,,,IMG_3819.HEIC,
DER LETZTE AKT,"100 x 160cm, 2026, reflektierend, Acryl auf Leinwand, Fr. 2300.-","Als letztes Werk entstand dieses Bild in «Dein Kunstraum», getragen von Abschied, Wehmut und einem leisen loslassen, bevor dieser Ort dem Bagger und dem unausweichlichen Ende überlassen wurde. 
Beim Akt des Malens gab sich Claudia vollkommen hin, lediglich bekleidet mit einer String-Body-Bluse.
Es war der Abschluss, der finale Höhepunkt von «Dein Kunstraum» & «Deine Galerie». So entfaltet sich die Doppeldeutigkeit dieses Titels.",Fussmalerei,,,IMG_5563.HEIC,
DER ÖKOLOGISCHE FUSSABDRUCK 2,"60 x 80cm, 2025, reflektierend, Acryl auf Leinwand, Fr. 980.-",An die Umwelt gedacht: Auch Löcher haben seine Vorzüge.. besonders wenn daraus ein Kunstwerk wird.,Fussmalerei,,,IMG_4890.HEIC,
DER ÖKOLOGISCHE FUSSABDRUCK 1,"100 x 160cm, 2025, reflektierend, Acryl auf Leinwand, Fr. 1900.-",An die Umwelt gedacht: Auch Löcher haben seine Vorzüge.. besonders wenn daraus ein Kunstwerk wird.,Fussmalerei,,,IMG_4883.HEIC,
ECHO OHNE SOHLE,"100 x 180cm, 2025, reflektierend, Acryl auf Leinwand, Fr. 2100.-","Dieses Bild ist mit barfüssiger Hingabe gemalt. Ziel: Weniger Plan im Kopf, ganz viel Freiheit in den Füssen.",Fussmalerei,,,IMG_1667.PNG,
KOPFLOS IM FUSS,"100 x 160cm, 2025, reflektierend, Acryl auf Leinwand, Fr. 1900.-","Diese Bild ist mit ganz viel Zehenspitzengefühl entstanden. Ziel: Weniger Plan im Kopf, ganz viel Freiheit in den Füssen.",Fussmalerei,,,IMG_0355.PNG,
FORMEN TANZEN SAMBA,"100 x 180cm, 2025, Gemeinschaftswerk mit Claudia Zemp und Ralf Krauter, Mischtechniken, reflektierend, Acryl auf Leinwand, 9500.-","Zwischen Fussabdruck und Formenlehre entstand ein Bilddialog, der weder gerade noch rund ist, sondern genau richtig verrückt..
Ralf Krauter`s Spezialitäten, die  geometrischen Formen und Claudia Zemp`s Maltechnik mit „Fussspitzengefühl“ führten zu einem fröhlichen Miteinander von Linie, Ecken, Kreise und viel Fussfeinheit und Intuition. 
Wer sich dieses Kunstwerk erwirbt, erhält die volle Power von zwei Kunstschaffenden.",Fussmalerei,,,,
FUSSPERLE ,"60 x 60cm, 2025, Acryl auf Leinwand, Fr. 690.-","MIT DEN FÜSSEN GEMALT.
Wenn Kontrollverlust tanzt.
Diese Bilder entstanden, weil Kontrolle endete und Neugierde begann: Direkt mit den Füssen auf der Leinwand. Ein Perspektivenwechsel, der zum Innehalten einlud – spielerisch, sinnlich und ganz nah am Moment.",Fussmalerei,,,IMG_1425.HEIC,
BARFUSS IM SAND,"60 x 60cm, 2025, Acryl auf Leinwand, Fr. 690.-",,Fussmalerei,,,IMG_1427.HEIC,
HITZFUSS,"60 x 60cm, 2025, Acryl auf Leinwand, Fr. 690.-",,Fussmalerei,,,IMG_1429.HEIC,
TANZ DER FARBEN,"60 x 60cm, 2025, Acryl auf Leinwand, Fr. 690.-",,Fussmalerei,,,IMG_1431.HEIC,
